                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6749,                 4.9288,                 3.6833,                0.00715,                0.83682,                0.03076,                0.01407,                 1.7515,                 3.5386,                 2.7211,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.5064,                 3.4009,                 2.1541,                0.15958,                0.30561,                0.08667,                0.05679,                 1.1775,                 2.6483,                 1.8105,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.2729,                 2.8085,                 1.8456,                0.16579,                0.33386,                0.11396,                0.07928,                 1.0308,                 2.3946,                 1.6549,              0.0098002,              0.0098002,              0.0098002
                      4,                 1.1752,                 2.5502,                 1.7324,                0.18013,                0.40252,                  0.142,                0.10296,                0.92579,                  2.203,                 1.5687,               0.009703,               0.009703,               0.009703
                      5,                 1.0873,                 2.3744,                 1.6483,                0.18357,                0.42015,                0.18856,                0.14285,                0.83346,                 2.0207,                 1.4565,               0.009703,               0.009703,               0.009703
                      6,                 1.0395,                 2.2654,                 1.6002,                0.21263,                0.42664,                0.23022,                0.17911,                0.76962,                 1.8944,                 1.3967,               0.009604,               0.009604,               0.009604
                      7,                0.99932,                 2.1811,                 1.5619,                 0.2835,                 0.4361,                0.26232,                0.20772,                0.73129,                 1.8041,                 1.3689,               0.009505,               0.009505,               0.009505
                      8,                0.96742,                 2.1112,                 1.5368,                0.24895,                 0.4675,                0.28529,                0.22838,                0.70581,                 1.7391,                 1.3356,               0.009406,               0.009406,               0.009406
                      9,                0.94646,                 2.0537,                 1.5142,                0.26232,                0.49653,                0.31553,                0.25547,                0.67847,                  1.679,                 1.3009,               0.009307,               0.009307,               0.009307
                     10,                0.92783,                 2.0194,                 1.4944,                0.29441,                0.50177,                0.33946,                 0.2758,                0.65998,                 1.6223,                 1.3008,               0.009208,               0.009208,               0.009208
                     11,                0.91196,                 1.9813,                 1.4819,                0.31989,                0.49836,                0.36435,                0.29983,                0.64022,                  1.576,                 1.2794,               0.009109,               0.009109,               0.009109
                     12,                0.89895,                 1.9424,                  1.472,                0.32105,                0.51022,                0.38157,                0.31418,                 0.6333,                 1.5528,                 1.2698,                0.00901,                0.00901,                0.00901
                     13,                0.88721,                  1.914,                 1.4585,                0.36082,                0.52173,                0.40584,                0.33643,                0.62224,                    1.5,                  1.268,               0.008911,               0.008911,               0.008911
                     14,                0.87918,                 1.8866,                 1.4529,                0.35155,                 0.5313,                0.42218,                0.35221,                0.60649,                 1.4655,                 1.2452,               0.008812,               0.008812,               0.008812
                     15,                0.86621,                 1.8602,                 1.4374,                 0.3692,                0.52854,                0.43829,                0.36634,                0.60275,                 1.4334,                 1.2411,               0.008713,               0.008713,               0.008713
